tier	id	title	md_source	md_source_id	summary_len	cover_real	n_authors	n_genres	n_synonyms	n_gallery	n_volumes	n_chapters	n_readable	average_score	title_in_synonyms
C_GENERIC	2089	1-nichi Go ni Shinu Gorilla	anilist	129574	66	t	1	4	3	2	78	3	0	83	t
A_CORRECT	2389	100 Ghost Stories That Will Lead to My Own Death	anilist	138347	697	t	1	7	9	0	0	100	0	73	t
A_CORRECT	4640	20th Century Boys	anilist	30003	831	t	1	8	8	15	29	249	0	88	t
A_CORRECT	3722	7 Seeds	anilist	31075	1018	t	1	11	4	2	36	180	0	81	t
A_CORRECT	2350	7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!	anilist	200957	300	t	1	3	3	42	9	53	0	79	f
A_CORRECT	2474	8-kagetsu no Tenshi: Hajimete Mama ni Nareta Hi	anilist	209569	551	t	1	3	2	0	0	2	0		t
A_CORRECT	4055	A Certain Magical Index SS	anilist	61651	504	t	1	9	6	31	31	26	0	75	t
A_CORRECT	2012	A Tail's Tale	anilist	107230	337	t	1	8	7	0	4	24	0	74	t
A_CORRECT	2511	AYAKA is in LOVE with HIROKO!	anilist	120649	328	t	1	5	6	0	3	24	0	73	t
A_CORRECT	2453	Adopted Daughter	anilist	159165	168	t	1	5	7	22	21	162	0	65	f
D_NO_METADATA	1707	Aggretsuko Manga			0	f	1	1	2	16	6	54	0		f
A_CORRECT	2538	Ahiru no Sora	anilist	33367	370	t	1	5	7	264	51	307	0	76	t
A_CORRECT	2489	Ai.	anilist	56142	263	t	1	6	4	0	17	153	0		t
A_CORRECT	2247	Akagi: Yami ni Oritatta Tensai	anilist	31218	889	t	1	5	4	0	36	306	0	83	t
A_CORRECT	2159	Akame ga Kill!	anilist	55132	675	t	1	10	6	91	19	83	0	74	t
C_NO_SUMMARY	1787	Akibiyori	anilist	209652	0	t	1	4	2	0	0	1	0		t
A_CORRECT	4820	Akira	anilist	30664	540	t	1	10	4	40	40	120	0	84	t
C_NO_SUMMARY	2253	Akuma to Boku no Koufukuron	anilist	210394	0	t	1	4	2	6	6	46	0		t
A_CORRECT	2216	Akumetsu	anilist	31101	440	t	1	7	2	56	19	171	0	78	t
A_CORRECT	2585	Akuyaku Seijo no Yarinaoshi: Enzai de Shokei sareta Seijo wa Oshi no Eiyuu wo Sukuu Tame ni Gaman wo Yamemasu	anilist	199738	433	t	2	3	2	0	5	16	0		t
A_CORRECT	1880	Albus Changes the World	anilist	180511	691	t	1	4	4	0	9	71	0	73	t
A_CORRECT	1704	Alfheim no Kishi	anilist	67789	1202	t	1	8	9	0	54	238	0	68	t
A_CORRECT	4448	An Archdemon's Dilemma: How to Love Your Elf Bride	anilist	101722	756	t	2	7	11	3	22	107	0	74	t
A_CORRECT	2345	Ane no Shinyuu, Watashi no Koibito.	anilist	136609	251	t	1	6	5	0	4	27	0	74	t
A_CORRECT	2357	Ane no Tomodachi	anilist	174315	291	t	1	4	3	0	28	189	0	74	f
A_CORRECT	2609	Anne Happy	anilist	86325	524	t	1	4	4	0	10	71	0	65	f
A_CORRECT	2333	Ano Koro no Aoi Hoshi	anilist	127894	243	t	1	7	4	0	30	10	0	76	t
C_NO_SUMMARY	2370	Ano ne, Micchan	anilist	210372	0	t	1	3	2	2	6	6	0		t
A_CORRECT	2384	Anta to Osananajimitte dake demo Iyananoni!: Zekkou kara Hajimaru S-kyuu Bishoujo to no Gakuen Nariagari Seikatsu	anilist	152913	625	t	2	6	5	0	1	5	0	66	t
A_CORRECT	4341	Apocalypse no Toride	anilist	69139	675	t	1	8	4	56	11	52	0	71	t
A_CORRECT	4052	Aposimz	anilist	98354	444	t	1	10	7	18	9	54	0	70	t
A_CORRECT	2251	Asahina Wakaba & Her Chubby-Chubby Boyfriend	anilist	113701	294	t	2	6	4	2	3	18	0	73	t
A_CORRECT	1734	Ascendance of a Bookworm: Royal Academy Stories - First Year	anilist	110803	848	t	1	4	5	45	2	43	0	82	t
A_CORRECT	2018	Assault Lily Last Bullet: Secret Garden - Dreamy Memoria	anilist	162196	88	t	4	5	2	0	0	3	0		t
A_CORRECT	2276	Asshou	anilist	111913	196	t	1	7	2	42	20	202	0	42	t
A_CORRECT	2139	Asu no Yoichi	anilist	33214	402	t	1	7	5	0	15	58	0	67	f
A_CORRECT	4633	Attack on Titan	anilist	53390	615	t	1	10	24	187	76	144	0	84	t
A_CORRECT	464	Attack on Titan - Before the Fall	anilist	85312	584	t	2	8	8	162	35	141	17	71	f
A_CORRECT	465	Attack on Titan - Cost of Freedom	anilist	53390	615	t	1	10	24	185	35	143	1	84	f
A_CORRECT	466	Attack on Titan - Lost Girls	anilist	95409	267	t	2	8	6	3	3	10	2	73	f
A_CORRECT	467	Attack on Titan - No Regrets	anilist	85199	590	t	3	10	12	14	4	14	0	79	f
